sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"substitute librarian, richmond memorial library",Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00)
"substitute school psychologist, snoqualmie valley school district",School Psychologists (19-3034.00),School Psychologists (19-3034.00),School Psychologists (19-3034.00),School Psychologists (19-3034.00)
"substitute teacher (mathematics), garden grove unified school district","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, amarillo isd","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, anderson school district five","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, batavia middle school","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, bayless school district","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, brewer school district","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, dwight township high schl dist","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, katy isd","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, kelly services","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, kelly, kelly services","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, levittown public schools","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, national presbyterian school","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, pleasant valley high school","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, rahway board of education","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, ridgefield school district","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, san josé unified school district","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher, texans can academies","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)","Substitute Teachers, Short-Term (25-3031.00)"
"substitute teacher-para professional clerical, ess | source4teachers","Teachers and Instructors, All Other (25-3099.00); Substitute Teachers, Short-Term (25-3031.00); Office Clerks, General (43-9061.00)","Teaching Assistants, All Other (25-9049.00); Substitute Teachers, Short-Term (25-3031.00); Office Clerks, General (43-9061.00)","Substitute Teachers, Short-Term (25-3031.00); Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00); Office Clerks, General (43-9061.00)","Substitute Teachers, Short-Term (25-3031.00);Office Clerks, General (43-9061.00)"
"suite runner, kosch dining solutions","Food Preparation and Serving Related Workers, All Other (35-9099.00)",Gambling and Sports Book Writers and Runners (39-3012.00),Gambling and Sports Book Writers and Runners (39-3012.00),Gambling and Sports Book Writers and Runners (39-3012.00)
"summer brass team member, the salvation army",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00),Musicians and Singers (27-2042.00),Recreation Workers (39-9032.00)
"summer camp counselor, summer camp",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00),Recreation Workers (39-9032.00),Recreation Workers (39-9032.00)
"summer extern, united states district court for the southern district of california",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"summer help, bp",None (00-0000.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"summer help, carbide industries ltd","Helpers--Production Workers (51-9198.00); Laborers and Freight, Stock, and Material Movers, Hand (53-7062.00)",Helpers--Production Workers (51-9198.00),Helpers--Production Workers (51-9198.00),Helpers--Production Workers (51-9198.00)
"summer intensive counselor, american ballet theatre","Educational, Guidance, and Career Counselors and Advisors (21-1012.00); Counselors, All Other (21-1019.00)","Counselors, All Other (21-1019.00)","Counselors, All Other (21-1019.00)","Counselors, All Other (21-1019.00)"
"summer law clerk, pima county superior court - family division",Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00),Judicial Law Clerks (23-1012.00)
"summer orientation advisement and registration (soar) leader, northwest missouri state university","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"summer power staff, midway ymca",Recreation Workers (39-9032.00),"Recreation Workers (39-9032.00); Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092.00)",Recreation Workers (39-9032.00),Recreation Workers (39-9032.00)
"summer sales contractor, the southwestern company","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091.00)","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091.00)","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091.00)","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers (41-9091.00)"
"summer school teacher assistant, prince william county public schools","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education (25-9042.00)"
"super user, blue shield of california",Computer User Support Specialists (15-1232.00),Computer User Support Specialists (15-1232.00),Computer User Support Specialists (15-1232.00),Computer User Support Specialists (15-1232.00)
"superintendent, texas military department","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00); First-Line Supervisors of All Other Tactical Operations Specialists (55-2013.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"supervising anthropology instructor, american museum of natural history","Anthropology and Archeology Teachers, Postsecondary (25-1061.00)","Anthropology and Archeology Teachers, Postsecondary (25-1061.00)","Anthropology and Archeology Teachers, Postsecondary (25-1061.00)","Anthropology and Archeology Teachers, Postsecondary (25-1061.00)"
"supervising budget analyst, nyc office of management and budget",Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00),Budget Analysts (13-2031.00)
"supervising consulting forester, erm: environmental resources management","Foresters (19-1032.00); Conservation Scientists (19-1031.00); First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011.00)",Foresters (19-1032.00); Conservation Scientists (19-1031.00),Foresters (19-1032.00); Conservation Scientists (19-1031.00),Foresters (19-1032.00);Conservation Scientists (19-1031.00)
"supervising detective investigator, kings county district attorneys office, kings county district attorney",First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00),First-Line Supervisors of Police and Detectives (33-1012.00)
"supervising judge, sedgwick county election comm","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)","Judges, Magistrate Judges, and Magistrates (23-1023.00)"
"supervising pediatrician, morris heights health center","Pediatricians, General (29-1221.00); Medical and Health Services Managers (11-9111.00)","Pediatricians, General (29-1221.00)","Pediatricians, General (29-1221.00)","Pediatricians, General (29-1221.00)"
"superviso civil, servicios y construcciones pedroca",First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00)
"supervisor - nursing clinical trials, honorhealth",Clinical Research Coordinators (11-9121.01); Medical and Health Services Managers (11-9111.00),Clinical Nurse Specialists (29-1141.04); Clinical Research Coordinators (11-9121.01); Medical and Health Services Managers (11-9111.00),Clinical Research Coordinators (11-9121.01); Medical and Health Services Managers (11-9111.00),Clinical Research Coordinators (11-9121.01);Medical and Health Services Managers (11-9111.00)
"supervisor of placement and licensing, ruth cooper center/ lutheran services",Social and Community Service Managers (11-9151.00),Social and Community Service Managers (11-9151.00),First-Line Supervisors of Office and Administrative Support Workers (43-1011.00); Social and Community Service Managers (11-9151.00),Social and Community Service Managers (11-9151.00)
"supervisor, bruce white framing gallery",First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00),First-Line Supervisors of Construction Trades and Extraction Workers (47-1011.00)
"supervisor, material handling, cnh industrial","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00); First-Line Supervisors of Material-Moving Machine and Vehicle Operators (53-1043.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)"
"supervisora ob, pricesmart",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
